MätplatsID;Namn;Vägnummer;Kommun
14033020;Sundholmen södergående;41;Mark
14034010;Backafall;194;Hjo
14034020;Backafall;194;Hjo
14034030;Nygården;194;Hjo
14034040;Nygården;194;Hjo
14035010;Skattegården;44;Grästorp
14035020;Skattegården;44;Grästorp
14035030;Guldsmedstomten;44;Grästorp
14035040;St Boberg;44;Grästorp
14036010;Säterkullen;200;Skövde
14036020;Säterkullen;200;Skövde
14036030;Ulvängen;200;Skövde
14036040;Ulvängen;200;Skövde
14036050;Götlunda k:a;200;Skövde
14036060;Götlunda k:a;200;Skövde
14037010;Infart flygplats;563;Göteborg
14037020;Solberg;563;Göteborg
14039010;Varnhem;49;Skara
14040010;Lekåsa norrgående;E20;Essunga
14040020;Lekåsa södergående;E20;Essunga
14041010;Acklinga norrgående  ;26;Tidaholm
14041020;Kavlåsbruket Furubacken;26;Tidaholm
14041030;Åsebacken norrgående;26;Falköping
14041040;Åsebacken södergående;26;Falköping
14042010;Heden;41;Mark
14042020;Hulatorp;41;Mark
14044010;Horred norrgående;41;Mark
14044020;Horred södergående;41;Mark
14045010;Tråvad kyrka västergående ;47;Vara
14045020;Tråvad kyrka östergående;47;Vara
14045030;Knutskvarnen östergående;47;Vara
14045040;Knutskvarnen västergående;47;Vara
14046005;Ljungstorp;49;Skara
14046010;Stenberget;49;Skövde
14046015;Stenberget östgående körriktning;49;Skövde
14046020;Våmb Linden;49;Skövde
14048010;Fagerfjäll norrgående;169;Tjörn
14048020;Fagerfjäll södergående;169;Tjörn
14049010;Ödskölt rastplats norrgående;172;Bengtsfors
14049020;Ödskölt rastplats södergående ;172;Bengtsfors
14049030;Steneby Munkedalen, norrgående ;172;Bengtsfors
14049040;Steneby Munkedalen, södergående ;172;Bengtsfors
14050002;Linderyd norrgående körriktning;195;Hjo
14050004;Linderyd södergående körriktning;195;Hjo
14050006;Myrebo norrgående körriktning;195;Hjo
14050008;Myrebo södergående körriktning;195;Hjo
14050010;Ringaberget norrgående ;195;Hjo
14050020;Ringaberget södergående;195;Hjo
14051010;Lövåsen västergående;202;Mariestad
14051020;Lövåsen östergående ;202;Mariestad
14051023;Fredsbergs mosse östergående;202;Töreboda
14051027;Fredsbergs mosse västergående;202;Töreboda
14051030;Hulteboda västergående  ;202;Töreboda
14051040;Hulteboda östergående;202;Töreboda
14052010;Kringlekullen södergående;587;Göteborg
14052020;Kringlekullen norrgående  ;587;Göteborg
14052030;Bolsten ;587;Göteborg
